IDŐ, ÚTX, DELTAX, FX
 127, 4.304931, 0.153747, 4742.624512
 128, 4.458679, 0.153748, 4742.625000
 129, 4.612426, 0.153747, 4742.624512
 130, 4.766174, 0.153748, 4742.625000
 131, 4.919921, 0.153747, 4742.624512
 132, 5.073669, 0.153748, 4742.625000
 133, 5.227417, 0.153748, 4742.625000
 134, 5.381164, 0.153747, 4742.624512
 135, 5.534912, 0.153748, 4742.625000
 136, 5.688659, 0.153747, 4742.624512
 137, 5.842407, 0.153748, 4742.625000
 138, 5.996154, 0.153747, 4742.624512
 139, 6.149902, 0.153748, 4742.625000
 140, 6.303649, 0.153747, 4742.624512
 141, 6.457397, 0.153748, 4742.625000
 142, 6.611145, 0.153748, 4742.625000
 143, 6.764892, 0.153747, 4742.624512
 144, 6.918640, 0.153748, 4742.625000
 145, 7.072387, 0.153747, 4742.624512
 146, 7.226135, 0.153748, 4742.625000
 147, 7.379882, 0.153747, 4742.624512
 148, 7.533630, 0.153748, 4742.625000
 149, 7.687377, 0.153747, 4742.624512
 150, 7.841125, 0.153748, 4742.625000
 151, 7.994873, 0.153748, 4742.625000
 152, 8.148620, 0.153747, 4742.624512
 153, 8.302367, 0.153748, 4742.625000
 154, 8.456115, 0.153748, 4742.625000
 155, 8.609862, 0.153748, 4742.625000
 156, 8.763610, 0.153748, 4742.625000
 157, 8.917357, 0.153748, 4742.625000
 158, 9.071105, 0.153748, 4742.625000
 159, 9.224853, 0.153748, 4742.625000
 160, 9.378600, 0.153748, 4742.625000
 161, 9.532348, 0.153748, 4742.625000
 162, 9.686095, 0.153748, 4742.625000
 163, 9.839843, 0.153748, 4742.625000
 164, 9.993590, 0.153748, 4742.625000
 165, 10.147338, 0.153748, 4742.625000
 166, 10.301085, 0.153748, 4742.625000
 167, 10.454833, 0.153748, 4742.625000
 168, 10.608581, 0.153748, 4742.625000
 169, 10.762328, 0.153748, 4742.625000
 170, 10.916076, 0.153748, 4742.625000
 171, 11.069823, 0.153748, 4742.625000
 172, 11.223571, 0.153748, 4742.625000
 173, 11.377318, 0.153748, 4742.625000
 174, 11.531066, 0.153748, 4742.625000
 175, 11.684813, 0.153747, 4742.624512
 176, 11.838561, 0.153749, 4742.625000
 177, 11.992309, 0.153748, 4742.625000
 178, 12.146056, 0.153748, 4742.625000
 179, 12.299804, 0.153748, 4742.625000
 180, 12.453551, 0.153748, 4742.625000
